 Source Name ;Alternate Name(s);Type ;TypeID;Gal_Long;Gal_Lat;RA;Dec;Skymap_x;Skymap_y;Distance(kpc/z);Energy(MeV);General Information 
PKS 2209+236;2EG J2210+2358;Quasar;7;82.24;-26.09;333.03;23.93;73.8601;-26.0900;;30;"High-energy flux (Thompson et al. 1995); spectral information (Dingus et al. 1996)"
PSR 1509-58;Cir Pulsar,PSR J1513-5908;Pulsar;2;320.32;-1.16;228.48;-59.14;-39.6719;-1.1600;6.7;0.04–5;"Comparison of gamma-ray and radio pulsations (Ulmer et al. 1993); hint of a detection with COMPTEL (Bennett et al. 1994)"
PSR B0656+14;2E 0656.9+1418;Pulsar;2;201.11;8.26;104.59;14.24;-157.2417;8.2600;0.76;100;Pulsed high-energy emission (Ramanamurthy et al. 1996)
PSR B1055-52;2EG J1059-5237,PSR J1057-5226;Pulsar;2;285.98;6.65;164.5;-52.45;-73.5220;6.6500;1.5;100–4000;Pulsed high-energy emission (Fierro et al. 1993)
PSR B1259-63;;HMXRB;1;304.18;-0.99;195.7;-63.84;-55.8117;-0.9900;2;0.05–0.2;"Gamma-ray detection (Grove et al. 1995b); distance (Johnston et al. 1994)"
PSR B1706-44;2CG 342-02,2EG J1710-4432;Pulsar;2;343.05;-2.68;257.39;-44.52;-16.9315;-2.6800;1.5;50–10000,1000000;"Gamma-ray spectroscopy and pulse (Thompson et al. 1996); original detection as 2CG 342-02 (Swanenburg et al. 1981); very high-energy detection of unpulsed emission (Kifune et al. 1995)"
PSR B1951+32;;Pulsar;2;68.77;2.82;298.24;32.88;68.6867;2.8200;1.3;100;"Detection of pulsed emission (Ramanamurthy et al. 1995); claims and counterclaims regarding COS B detection (Li et al. 1987; D'Amico et al. 1987)"
QSO 1424-418;2EGS J1429-4224;Quasar;7;321.57;16.9;217.32;-42.4;-36.7703;16.9000;1.52;100;Flux measurement and identification (Thompson et al. 1996)
QSO 0130-171;2EG J0129-1748;Quasar;7;168.21;-77.18;22.39;-17.8;37.3239;-77.1800;1.02;100;High-energy flux (Thompson et al. 1995)
QSO 0202+149;2EG J0204+1512,4C 15.05,1Jy 0202+14;Quasar;7;147.93;-44.04;31.21;15.24;106.3402;-44.0400;0.833;100;High-energy flux (Thompson et al. 1995)
QSO 0208-512;2EG J0210-5051,RX J02107-5100,1Jy 0208-512;Quasar;7;276.1;-61.78;32.69;-51.02;-39.6728;-61.7800;1;1–3,30–4000;"MeV detection (Blom et al. 1995); high-energy spectrum (Bertsch et al. 1993)"
